last_name,first_name,year,xba,xslg,xwoba,xobp,xiso,wobacon,xwobacon,bacon,xbacon,xbadiff,xslgdiff,wobadif,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrels,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,iz_contact_percent,in_zone_swing_miss,whiff_percent,swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,pop_2b_sba_count,pop_2b_sba,pop_2b_sb,pop_2b_cs,pop_3b_sba_count,pop_3b_sba,pop_3b_sb,pop_3b_cs,exchange_2b_3b_sba,maxeff_arm_2b_3b_sba,n_outs_above_average,rel_league_reaction_distance,rel_league_burst_distance,rel_league_routing_distance,rel_league_bootup_distance,f_bootup_distance,n_bolts,hp_to_1b,sprint_speed,name,WAR
Altherr,Aaron,2016,0.22,0.317,0.288,0.319,0.094,0.318,0.356,0.302,0.337,-0.023,-0.029,-0.022,88.3,5.6,29.5,4,3.1,3.9,26.4,17.8,43.4,5.4,34.9,60.2,19.2,27.4,48.5,51.5,65,134,52.6,489,73.1,7.2,80.8,51,29.1,42.9,52.7,12.4,29.5,5.4,,,,,,,,,,,1,-0.2,0.4,-0.3,-0.1,31.9,1,,28.8,Aaron Altherr,1.4
Hernandez,Enrique,2016,0.217,0.365,0.299,0.307,0.147,0.308,0.355,0.27,0.308,-0.027,-0.041,-0.029,88.5,13.8,33.6,10,6.6,4.6,22.4,30.9,32.9,2.6,34.9,63.8,17.7,26.7,52.9,47.1,72,136,52.6,510,62.7,7.7,82.3,52,28.9,44.3,40.8,26.3,24.3,8.6,,,,,,,,,,,1,3.5,0.7,-2.5,1.7,35,0,,27,Enrique Hernandez,1.4
Hechavarria,Adeiny,2016,0.273,0.359,0.296,0.318,0.082,0.272,0.321,0.274,0.318,-0.037,-0.048,-0.04,87.4,7.5,30.5,5,1.1,3.9,28.9,22.5,40,3.6,31.1,66.7,11,32.4,26.9,73.1,86,320,49.9,989,73.1,8.1,89,73,16.2,49.5,50.5,19.5,25.9,4.1,,,,,,,,,,,,,,,,,0,,27.6,Adeiny Hechavarria,1.4
Gattis,Evan,2016,0.242,0.461,0.328,0.313,0.217,0.437,0.412,0.346,0.336,0.009,0.048,0.017,89.5,13,33.6,35,10.8,4.9,20.1,27.5,32.7,4,35.2,65.9,19.1,29.2,38.9,61.1,121,311,56.1,1066,83.2,6.3,80.9,105,26.2,45.3,41.4,26.5,23.5,8.6,9,2.02,1.91,2.04,3,1.6,1.66,1.58,0.82,86.6,,,,,,,0,,27.2,Evan Gattis,1.4
Story,Trevor,2016,0.267,0.534,0.37,0.337,0.265,0.534,0.516,0.416,0.409,0.005,0.033,0.01,90.3,16.7,44.5,34,13.9,9.8,25.7,25.7,21.2,3.7,44.5,63.9,22,28.3,45.7,54.3,116,254,50.6,898,66.7,6.8,78,123,29.4,45.9,31.8,26.1,34.3,7.8,,,,,,,,,,,,,,,,,32,,29.6,Trevor Story,1.4
Arcia,Orlando,2016,0.216,0.3,0.257,0.27,0.08,0.317,0.293,0.286,0.281,0.003,0.058,0.017,86.6,6.2,26,3,1.9,5.2,21.4,20.8,44.8,5.8,29.9,71,25.4,34.1,37.3,62.7,50,134,49.6,393,76.8,7.1,74.6,72,29.2,52.7,57.1,11.7,23.4,7.8,,,,,,,,,,,,,,,,,0,,27.7,Orlando Arcia,1.4
Suzuki,Kurt,2016,0.248,0.367,0.292,0.293,0.116,0.321,0.308,0.296,0.286,0.01,0.036,0.011,86.8,14.9,32.1,8,2.6,5,26.8,31.1,30.1,4.3,29.8,65.8,9.2,28.8,32.6,67.4,60,184,48,640,76.4,8,90.8,42,16,48,40.7,25.2,23.8,10.3,27,2.11,2.11,2.1,5,1.63,1.65,1.61,0.84,81.3,,,,,,,0,,25.4,Kurt Suzuki,1.5
Mercer,Jordy,2016,0.259,0.362,0.307,0.332,0.099,0.318,0.323,0.304,0.309,-0.003,0.012,-0.004,86.1,10.1,29.4,10,2.2,3.8,24.9,24.3,39.6,5.2,26.1,59.7,9.6,27.3,26.6,73.4,85,320,51.1,1171,64.2,7.2,90.4,64,15.1,43.2,49.9,19.8,24.3,6.1,,,,,,,,,,,,,,,,,0,,27.6,Jordy Mercer,1.5
Dietrich,Derek,2016,0.262,0.419,0.348,0.364,0.154,0.385,0.385,0.36,0.345,0.017,0.006,0,85.6,13.3,40.4,22,8.1,5.5,23.5,22.4,35.3,5.1,31.6,65.9,11.2,30.2,36.4,63.6,95,261,53.8,865,71.6,6.3,88.8,55,20,46.7,41.5,20.2,29.8,8.5,,,,,,,,,,,,,,,,,0,,27.7,Derek Dietrich,1.5
Galvis,Freddy,2016,0.239,0.356,0.273,0.273,0.114,0.35,0.335,0.312,0.311,0.002,0.043,0.011,85.6,12.4,34.8,14,3,4.8,26.5,29.1,31.3,5.2,27.2,67.2,14.6,38.7,30.8,69.2,149,483,52.7,1247,66.9,6.3,85.4,110,21,52.2,42.8,23.3,27.2,6.7,,,,,,,,,,,,,,,,,1,,27.6,Freddy Galvis,1.5
Grichuk,Randal,2016,0.239,0.469,0.322,0.288,0.228,0.437,0.433,0.35,0.349,0.001,0.011,0.003,91.4,16.2,28.4,30,9.8,8.5,25.2,27.8,27.5,1.3,46.1,73,22.5,35.7,45.6,54.4,154,338,51.4,947,74.1,7.3,77.5,147,30.3,53.8,40.8,28.4,21.2,9.5,,,,,,,,,,,-1,-1.4,0.7,0.4,-0.3,33.4,2,,28.5,Randal Grichuk,1.5
Castellanos,Nicholas,2016,0.291,0.583,0.386,0.337,0.291,0.443,0.496,0.384,0.392,-0.006,-0.087,-0.037,89.4,16.9,48.2,44,14.4,5.6,25.9,27.5,24.9,1.6,39,73.4,18.8,35.5,49.4,50.6,156,316,51.5,890,81.9,6.7,81.2,116,29.2,53.9,32.5,34.8,30.5,2.3,,,,,,,,,,,,,,,,,0,,26.9,Nicholas Castellanos,1.5
Kepler,Max,2016,0.241,0.351,0.295,0.316,0.108,0.356,0.33,0.302,0.312,-0.006,0.073,0.018,89.3,8.3,30.1,12,3.9,7.1,22.7,24.3,39.2,2.9,37.5,59.1,10.8,28.5,40.2,59.8,105,261,52.8,915,65.4,7.3,89.2,52,21.1,43,48.2,22.3,23.6,5.8,,,,,,,,,,,15,-0.6,1.2,0.7,1.3,34.7,8,,28.1,Max Kepler,1.5
Russell,Addison,2016,0.241,0.42,0.322,0.324,0.177,0.366,0.374,0.316,0.32,-0.003,-0.003,-0.006,87.2,15.2,32.3,37,9.3,2.3,24,28.5,31.8,4,31.3,71.8,23,28.6,44.3,55.7,151,341,51.1,1194,80.8,7.8,77,189,29.3,49.7,42.4,21.5,25.3,10.9,,,,,,,,,,,,,,,,,2,,28.5,Addison Russell,1.5
Phillips,Brandon,2016,0.264,0.377,0.294,0.296,0.109,0.34,0.316,0.328,0.3,0.027,0.039,0.021,86.1,9.6,35.5,13,2.7,4.1,25.5,24.7,40.4,2.7,25.3,75.2,12.1,40.6,31.2,68.8,136,436,51.3,1073,73.6,7.6,87.9,93,19.1,57.5,47.1,16.3,30.2,6.3,,,,,,,,,,,,,,,,,1,,26,Brandon Phillips,1.6
Jones,Adam,2016,0.27,0.471,0.337,0.317,0.198,0.359,0.383,0.32,0.329,-0.005,-0.035,-0.019,88.4,14.5,32,41,8,5.5,23.6,27.7,31.8,3.5,34.9,82.5,16.9,42.6,40.7,59.3,224,551,55.4,1293,84.4,5.8,83.1,145,26.2,60.4,43.5,25.9,22.2,8.4,,,,,,,,,,,3,-0.5,-0.9,-0.1,-1.6,32.4,3,,28,Adam Jones,1.6
Ellsbury,Jacoby,2016,0.268,0.359,0.31,0.334,0.089,0.319,0.321,0.309,0.314,-0.005,0.015,-0.002,86.5,10.4,31,8,1.7,3.2,28.1,25.3,37.3,4.4,31.4,66.7,9.1,25.2,37.8,62.2,108,286,48.7,1137,72,6.9,90.6,73,16.7,46.4,47,17.7,26.2,9.1,,,,,,,,,,,4,-0.8,0.7,0.6,0.4,34.4,10,,27.9,Jacoby Ellsbury,1.6
Braun,Ryan,2016,0.291,0.476,0.358,0.355,0.181,0.436,0.411,0.375,0.361,0.014,0.062,0.02,89.9,4.3,27.4,35,8.4,5.5,23.8,13.5,46.2,2.6,38.7,72.3,12.3,34.4,34.8,65.2,142,408,56.4,1187,77,6,87.7,82,20.9,50.9,56.7,16.3,22.6,4.3,,,,,,,,,,,-7,1,-0.8,-0.5,-0.3,33.2,0,,27.4,Ryan Braun,1.6
Cespedes,Yoenis,2016,0.283,0.526,0.373,0.359,0.24,0.432,0.438,0.355,0.363,-0.003,0.004,-0.004,91.7,16.3,32.9,37,9.8,6.4,27.3,27.6,27.1,1.9,47.5,64.5,16.9,33,36.6,63.4,148,404,55.8,1223,73.1,6.1,83.1,106,24.7,47,37.7,26,27.3,9,,,,,,,,,,,-11,-1.8,-1.5,0.6,-2.7,30.8,2,,27.1,Yoenis Cespedes,1.6
Polanco,Jorge,2016,0.279,0.38,0.32,0.334,0.097,0.363,0.355,0.342,0.344,0.003,0.044,0.006,86.5,15.3,38.2,5,2.5,2.9,34.8,29.9,26.5,3.4,26,56.2,9.8,30.9,29.9,70.1,52,174,53.4,563,61.9,6,90.2,27,17.6,42.7,34.3,26,31.9,7.8,,,,,,,,,,,,,,,,,10,,28.8,Jorge Polanco,1.6
Duvall,Adam,2016,0.246,0.49,0.337,0.302,0.243,0.429,0.434,0.336,0.345,-0.005,0.008,-0.004,88.6,19,36.6,48,12.1,7.6,23,29.8,22.7,4.8,40.8,68.3,18.1,32.8,46.2,53.5,176,381,52.3,1163,78.8,7,81.9,131,27.7,49.7,33.8,28.5,27.8,9.8,,,,,,,,,,,4,2,-0.2,-1.2,0.6,33.1,0,,28.3,Adam Duvall,1.6
Kendrick,Howie,2016,0.279,0.425,0.341,0.35,0.143,0.327,0.379,0.315,0.348,-0.024,-0.059,-0.038,90.1,1.6,27.9,23,5.8,5.6,26.9,11.4,46.7,3.6,42.1,67.1,13.4,28.4,38.5,61.5,112,291,49.5,1025,77.2,9.1,86.6,94,20.8,47.9,61.2,12.4,24.9,1.5,,,,,,,,,,,-4,1,-1.3,-0.1,-0.4,32.8,1,,26.7,Howie Kendrick,1.7
Escobar,Eduardo,2016,0.25,0.371,0.293,0.294,0.118,0.307,0.339,0.295,0.315,-0.014,-0.033,-0.024,85.3,15,33.9,9,3.2,4.6,27.2,28.6,32.2,4.2,24.7,67.6,11.5,34.2,33.7,66.3,85,252,52.4,737,77.8,7,88.5,52,19.4,50.1,41,24.4,25.4,9.2,,,,,,,,,,,,,,,,,0,,27.5,Eduardo Escobar,1.7
Semien,Marcus,2016,0.23,0.412,0.305,0.293,0.179,0.373,0.359,0.314,0.304,0.008,0.023,0.01,87.8,15.1,32.5,29,6.7,7.7,20.4,31.3,29.5,4.4,34.8,65.4,18.5,25.2,37.6,62.4,121,322,49.4,1277,78.4,7.3,81.5,158,23.7,45.6,40.4,29,24.1,6.5,,,,,,,,,,,,,,,,,2,,28.4,Marcus Semien,1.7
Iglesias,Jose,2016,0.266,0.325,0.289,0.318,0.056,0.282,0.289,0.283,0.297,-0.011,0.011,-0.006,82.5,7.1,29.7,3,0.7,0.9,25.3,22,42.9,8.2,20.8,53,4.8,35.1,19.1,80.9,67,351,50.3,1000,55.1,8,95.2,25,10.5,44,52.7,16.6,22,8.7,,,,,,,,,,,,,,,,,7,,28.5,Jose Iglesias,1.7
Jay,Jon,2016,0.256,0.342,0.29,0.306,0.081,0.374,0.336,0.374,0.33,0.034,0.046,0.028,85.3,6.4,34.3,3,1.1,4.1,33.2,16.6,40.2,4.8,23.2,70.3,13.8,32,40.3,59.7,89,221,48.6,691,74.3,7.4,86.2,71,21.8,51.7,55.4,12.2,29.9,2.6,,,,,,,,,,,-6,0.4,-0.4,-0.1,-0.1,33.8,0,,26.3,Jon Jay,1.8
Jackson,Austin,2016,0.286,0.408,0.336,0.35,0.12,0.32,0.382,0.319,0.363,-0.032,-0.065,-0.044,87,11.3,40.4,3,2.1,6.8,32.9,26,28.1,4.1,32.2,61.3,14.3,23.5,35.8,64.2,34,95,47,405,70.2,9.7,85.7,40,19.7,43.5,40.4,26,30.8,2.7,,,,,,,,,,,1,1,0.8,-1.5,0.3,33.8,0,,28.1,Austin Jackson,1.8
Gomez,Carlos,2016,0.227,0.36,0.288,0.294,0.13,0.389,0.376,0.345,0.339,0.004,0.024,0.008,85.3,8.2,29.9,18,6.5,5,20.9,24.5,33.8,9,32,71.1,25.5,34,49,51,148,302,51.1,888,83.5,6.6,74.5,154,33.3,52.1,47.8,17.6,25.2,9.4,,,,,,,,,,,-5,-0.2,0.2,0,0,33.8,17,,28.8,Carlos Gomez,1.8
Avila,Alex,2016,0.2,0.358,0.321,0.349,0.154,0.454,0.436,0.391,0.369,0.013,0.015,0.008,91.3,6.9,38,8,8.7,8.7,27.2,12,41.3,2.2,40.2,60.3,32,14.6,63.4,36.6,45,71,51.4,487,82,6.4,68,89,38.4,36.8,53.3,16.3,28.3,2.2,16,2.01,2,2.01,4,1.57,1.57,1.57,0.72,80.4,,,,,,,0,,24.2,Alex Avila,1.8
Freese,David,2016,0.25,0.415,0.329,0.334,0.161,0.43,0.422,0.4,0.371,0.02,-0.003,0.005,90.9,2.1,32.5,25,8.5,6.8,26.4,6.8,49.5,2,48.1,62.8,19.5,27.3,45.7,54.3,133,291,51.7,1066,72,7.6,80.5,122,27.8,44.4,61.7,12.9,24.4,1,,,,,,,,,,,,,,,,,0,,26.9,David Freese,1.8
Forsythe,Logan,2016,0.275,0.483,0.357,0.344,0.206,0.396,0.427,0.35,0.365,-0.011,-0.039,-0.021,90,13.5,39.1,29,7.5,8.8,27.2,24.9,30.3,1.3,38.6,57.5,18.7,18.8,36.8,63.2,75,204,46.2,1087,63.2,8.7,81.3,136,22.7,39.6,42,26.7,26.9,4.4,,,,,,,,,,,,,,,,,0,,27.7,Logan Forsythe,1.8
Gomes,Yan,2016,0.208,0.367,0.263,0.239,0.156,0.282,0.335,0.228,0.283,-0.041,-0.04,-0.038,87,16.6,28.8,10,5.4,8.2,18.5,33.7,30.4,3.8,32.1,73.9,17.2,37.6,42.5,57.5,68,160,46.7,426,82.4,8.1,82.8,62,25,57,39.1,27.7,26.1,7.1,17,1.95,1.95,1.95,1,1.65,,1.65,0.69,80.5,,,,,,,0,,26.6,Yan Gomes,1.8
Pedroia,Dustin,2016,0.29,0.406,0.338,0.353,0.113,0.368,0.343,0.357,0.328,0.028,0.043,0.02,88.5,8.4,35.5,14,2.5,3.9,31,22.9,38.8,0.9,28.9,58.4,9.8,24.7,19,81,58,306,45.4,1238,66.5,8.1,90.2,85,12.2,43.1,48.9,18.6,27.7,4.8,,,,,,,,,,,,,,,,,0,,26.5,Dustin Pedroia,1.9
Castro,Starlin,2016,0.269,0.423,0.316,0.301,0.151,0.371,0.375,0.336,0.337,0.001,0.01,-0.003,88.5,8.9,32.9,25,5.4,4.9,26.2,21.7,38.1,3.7,34.2,68.1,15.4,35.1,38.7,61.3,153,395,49.9,1124,81.3,7.1,84.6,118,23.3,51.6,50.1,20.6,24.5,4.7,,,,,,,,,,,,,,,,,0,,27.4,Starlin Castro,1.9
Reyes,Jose,2016,0.249,0.372,0.302,0.312,0.122,0.369,0.332,0.329,0.309,0.018,0.071,0.027,85,17.9,33.8,9,4.3,3.4,23.7,34.3,30.4,3.9,25.6,60.5,14.4,32.1,29.3,70.7,55,188,54.9,586,53.5,6.7,85.6,42,20.3,44.9,36.2,22.7,25.6,15.5,,,,,,,,,,,,,,,,,2,,27.6,Jose Reyes,2
Martin,Russell,2016,0.225,0.41,0.328,0.333,0.182,0.387,0.398,0.337,0.332,0.006,-0.012,-0.006,89,9.7,29.7,29,9.3,6.4,23,21.1,37.1,3.2,39.9,56.7,24,19.1,49.5,50.5,102,206,47.3,1081,74.3,8,76,164,30,38.9,47.9,23,22.4,6.7,30,2.02,2.03,1.99,5,1.55,1.58,1.53,0.78,84,,,,,,,0,,25.4,Russell Martin,2
Headley,Chase,2016,0.242,0.38,0.312,0.323,0.134,0.358,0.357,0.333,0.322,0.011,0.005,0,87.1,11.7,33.6,21,5.9,4.8,25.1,24.3,35,4.8,33.3,65.3,16.7,23.8,45.9,54.1,118,257,51.7,1082,78,6.7,83.3,110,24.9,43.8,44.9,24,25.4,5.6,,,,,,,,,,,,,,,,,0,,25.8,Chase Headley,2
Castillo,Welington,2016,0.242,0.393,0.305,0.304,0.148,0.405,0.384,0.368,0.341,0.022,0.03,0.014,88.8,12.9,35.8,18,6,7,27.1,24.4,32.8,2.7,37.1,59,19.5,27.1,43.9,56.1,108,246,48.7,907,62.3,6.6,80.5,110,26.9,43.4,43.5,21.1,30.8,4.7,25,1.92,1.9,1.93,8,1.57,1.62,1.54,0.67,82.7,,,,,,,0,,24.9,Welington Castillo,2
LeMahieu,DJ,2016,0.343,0.494,0.397,0.414,0.148,0.415,0.423,0.402,0.399,0.005,0.001,-0.006,90.4,4.8,36.6,24,4.9,5.6,34.6,13,38.5,3.5,47.5,59.2,8.2,23,20.9,79.1,60,287,48.4,1247,64.3,7.2,91.8,65,11.6,41.7,52.9,10.1,33.7,3.3,,,,,,,,,,,,,,,,,0,,27.1,DJ LeMahieu,2
Panik,Joe,2016,0.261,0.403,0.325,0.337,0.141,0.287,0.318,0.263,0.289,-0.022,-0.024,-0.025,86.1,12.1,32.5,20,4.7,4,25.2,26.8,36.7,2.6,26.4,63.4,6.7,21.3,23.5,76.5,52,221,52.4,1037,77.3,6.5,93.3,40,11.2,41.4,46.1,21.9,23.3,8.7,,,,,,,,,,,,,,,,,2,,26.5,Joe Panik,2
Pillar,Kevin,2016,0.266,0.367,0.295,0.304,0.099,0.326,0.327,0.317,0.318,0,0.009,0,86.2,10.4,28,14,3,4.7,24.4,26.3,36.2,5.4,30.2,60.6,9.6,36.7,34.4,65.6,131,381,48.9,1039,64.7,8.1,90.4,63,18.7,48.9,46.6,17,25.2,11.2,,,,,,,,,,,11,0.3,0.4,0.4,1,34.8,6,,28.1,Kevin Pillar,2
Granderson,Curtis,2016,0.246,0.433,0.337,0.344,0.185,0.38,0.376,0.307,0.321,-0.009,0.031,0.002,87.6,18.4,34.5,31,7.4,6.4,24.8,31.9,25.2,4.3,32.6,56.7,12.7,20.1,43.2,56.8,130,301,55.6,1497,71.2,5.8,87.3,86,22.1,36.3,38.1,30,25,6.9,,,,,,,,,,,4,-0.4,-0.3,0.8,0,32.6,0,,27.3,Curtis Granderson,2.1
Castro,Jason,2016,0.22,0.399,0.315,0.315,0.177,0.393,0.419,0.335,0.351,-0.01,-0.022,-0.014,88.5,10.8,34.3,20,9.7,5.8,26.1,22.2,30.4,5.8,40.1,64.7,24.9,23.7,49.5,50.5,90,182,50.7,767,77.5,7.9,75.1,120,31.6,43.9,48.8,27.1,22.2,1.9,36,2.04,2.05,2.02,4,1.54,1.56,1.48,0.77,84.2,,,,,,,0,,26.6,Jason Castro,2.1
Dyson,Jarrod,2016,0.266,0.318,0.293,0.331,0.047,0.324,0.296,0.318,0.306,0.012,0.07,0.023,81.3,2.3,27.5,1,0.4,0.7,22.7,19.7,45.4,11.2,21.9,64.5,8.5,20.8,29.4,70.6,35,119,47.3,572,73.6,8.8,91.5,35,13.2,43.8,58.4,12.3,22.3,7.1,,,,,,,,,,,6,-0.1,1.7,-0.1,1.6,35.4,49,,28.8,Jarrod Dyson,2.1
DeShields,Delino,2016,0.214,0.283,0.255,0.279,0.064,0.314,0.305,0.295,0.301,-0.005,0.03,0.006,83.6,3.6,23.5,2,1.5,3.8,18.9,20.5,43.9,11.4,29.5,54.4,18.5,25.6,53.1,46.9,52,98,46.1,383,61.4,10,81.5,45,28.4,41.1,59.1,18.9,17.4,4.5,,,,,,,,,,,-1,-1.3,-0.2,0,-1.5,32,31,,29.7,Delino DeShields,2.1
Calhoun,Kole,2016,0.276,0.457,0.353,0.354,0.179,0.37,0.389,0.335,0.343,-0.005,-0.019,-0.013,89.5,14.8,36.8,30,6.2,8.3,27.7,26.8,28.1,2.9,40.1,73,15.3,29.3,46.6,53.4,184,395,53.7,1348,82.2,7.6,84.7,130,25.3,49.5,39.5,27.4,26.2,6.9,,,,,,,,,,,-6,-0.2,-0.4,0.6,0,33.7,0,,26,Kole Calhoun,2.1
Walker,Neil,2016,0.273,0.488,0.357,0.341,0.214,0.399,0.407,0.35,0.342,0.009,-0.012,-0.006,88.6,17.5,36.6,24,7.3,6.9,26.6,32.3,23.3,3.6,37.5,67,12,29,35.9,64.1,103,287,53.9,990,77.2,5.5,88,68,20,46.5,36.9,27.8,27.8,7.6,,,,,,,,,,,,,,,,,1,,26.2,Neil Walker,2.2
Nunez,Eduardo,2016,0.273,0.403,0.313,0.314,0.128,0.359,0.346,0.338,0.324,0.015,0.029,0.011,88.6,8.1,29,21,4.4,3.4,22.6,24.9,40.8,3.8,37,69.1,11.8,36.3,27.3,72.7,106,388,50.3,1068,75.8,7.8,88.2,86,17.2,52.6,50.3,19.7,21.8,8.2,,,,,,,,,,,,,,,,,39,,28,Eduardo Nunez,2.2
Crawford,Brandon,2016,0.256,0.412,0.322,0.328,0.154,0.369,0.362,0.34,0.321,0.019,0.018,0.005,88.3,12.1,34.9,25,5.6,6.9,24.4,25.7,33.8,3.6,34.5,76.7,18.1,29.1,45.2,54.8,170,376,54.7,1291,88.4,7.3,81.9,149,26.6,50.7,43.8,20.6,28.9,6.7,,,,,,,,,,,,,,,,,1,,26.7,Brandon Crawford,2.2
Wong,Kolten,2016,0.243,0.342,0.306,0.334,0.096,0.297,0.305,0.282,0.291,-0.003,0.013,-0.006,86,10.4,30.1,8,3,2.3,24.4,28.9,38,3.4,25.9,68.2,10.5,28.8,31.7,68.3,69,218,55.2,756,76.2,6.1,89.5,44,17.7,46.5,46.6,20.3,26.3,6.8,,,,,,,,,,,1,0.8,0.7,-0.4,1.1,34.8,1,,27.5,Kolten Wong,2.2
Gennett,Scooter,2016,0.239,0.35,0.288,0.296,0.106,0.369,0.332,0.339,0.31,0.024,0.062,0.027,86.7,11.7,34.4,15,3.9,3.4,25.8,27.4,37.7,1.8,24.5,72.5,15.8,32.3,35.5,64.5,130,366,54.8,1133,83.5,6.7,84.2,107,22.7,50.5,45.5,20.9,26.1,7.5,,,,,,,,,,,,,,,,,0,,25.5,Scooter Gennett,2.2
Bradley Jr.,Jackie,2016,0.253,0.444,0.34,0.339,0.189,0.419,0.398,0.355,0.34,0.014,0.042,0.014,90.1,10.1,29.8,36,8.6,6.9,22.4,22.1,38.6,1.4,39,63.8,19.8,27.3,41.9,58.1,148,353,51.6,1294,69.4,6.4,80.2,153,26.7,44.9,48.3,22.4,22.1,7.1,,,,,,,,,,,9,3.1,0.7,-2.1,1.7,35.6,0,,27.4,Jackie Bradley Jr.,2.2
Mauer,Joe,2016,0.282,0.447,0.359,0.381,0.161,0.339,0.384,0.32,0.345,-0.021,-0.058,-0.032,89.7,3.8,37,23,5.7,7.2,29.3,12.4,43.7,1.7,42.7,50.2,11.1,20.9,25.4,74.6,67,264,51.3,1264,54.1,7.4,88.9,67,15.4,35.2,52.4,17.9,29,0.7,,,,,,,,,,,,,,,,,0,,26.4,Joe Mauer,2.3
Molina,Yadier,2016,0.294,0.432,0.342,0.349,0.134,0.354,0.355,0.347,0.333,0.013,-0.005,0,87.6,9.1,35.7,17,3.6,5.7,29,21.8,36.8,3.2,27.9,71.8,12.9,35,19.9,80.1,73,366,50.5,1046,75.2,7.6,87.1,95,15.2,53.2,48.8,19.7,27.9,3.6,38,1.96,1.97,1.94,8,1.62,1.63,1.58,0.7,83.6,,,,,,,2,,23.8,Yadier Molina,2.3
Encarnacion,Edwin,2016,0.266,0.537,0.383,0.362,0.268,0.422,0.436,0.335,0.343,-0.003,-0.008,-0.01,90.8,15.7,36.3,58,12.3,6.6,21.2,28,30.1,1.7,40.6,65,17,21.4,42.5,57.5,136,320,51.7,1498,78.5,7.1,83,155,23.6,42.4,38.4,26.1,26.1,9.3,,,,,,,,,,,,,,,,,0,,25.3,Edwin Encarnacion,2.3
Iannetta,Chris,2016,0.238,0.38,0.318,0.33,0.14,0.315,0.372,0.29,0.333,-0.028,-0.051,-0.036,89.1,15,30.2,12,5.6,7.4,28.8,26,29.3,2.8,39.1,71.1,22.3,17,46.4,53.6,52,112,47,660,89.3,8.7,77.7,118,26.6,45.6,41.9,21.4,26,10.7,43,2.05,2.06,2.05,2,1.66,1.63,1.68,0.77,81.9,,,,,,,0,,25,Chris Iannetta,2.3
Belt,Brandon,2016,0.268,0.495,0.385,0.39,0.226,0.429,0.448,0.374,0.368,0.007,-0.021,-0.011,87.2,21,43.7,45,11.3,7,28.1,30.4,17.1,6,32.4,77.8,17.1,23.3,46.8,53.2,166,355,56.1,1526,92,6.5,82.9,159,25.3,47.2,27.4,29.9,35.4,7.3,,,,,,,,,,,,,,,,,0,,26.3,Brandon Belt,2.3
Bour,Justin,2016,0.274,0.5,0.365,0.361,0.221,0.384,0.413,0.326,0.344,-0.01,-0.025,-0.022,91.5,9.9,34.8,23,10.1,7,24.2,21.1,35.2,2.2,46.7,63,17.9,28.6,35.7,64.3,76,213,58.3,744,68,5.9,82.1,60,24.8,42.9,44.9,20.7,27.8,6.6,,,,,,,,,,,,,,,,,0,,24.2,Justin Bour,2.3
Alonso,Yonder,2016,0.265,0.41,0.324,0.328,0.141,0.309,0.342,0.296,0.313,-0.012,-0.043,-0.025,88.1,10.4,34,17,4.1,7.5,25.5,24.3,34.7,3.9,37.1,68.2,10.6,25.6,35.5,64.5,88,248,51.5,969,82.5,7.3,89.4,66,17.7,46.3,45.4,19.4,28.2,7,,,,,,,,,,,,,,,,,0,,24.6,Yonder Alonso,2.4
Contreras,Willson,2016,0.28,0.459,0.355,0.355,0.176,0.44,0.428,0.382,0.379,0.002,0.029,0.008,87.8,5.9,32.3,16,8.6,4.8,26.3,13.4,43,3.8,33.9,64.6,25.5,32.6,40.9,59.1,81,198,53.8,607,66.7,5.8,74.5,86,31.2,47.4,54.3,17.7,26.3,1.6,19,1.96,1.96,1.96,3,1.6,1.6,,0.73,86,0,0.4,0,0.1,0.5,32.7,0,,28.2,Willson Contreras,2.4
Machado,Manny,2016,0.295,0.534,0.375,0.347,0.236,0.424,0.435,0.358,0.363,-0.001,-0.001,-0.009,90.3,14.7,35.4,50,9.5,8.6,24,26.3,28,3.6,43,69.9,14.7,30.6,38.1,61.9,157,412,52.5,1345,81.1,6.4,85.3,125,22.3,49.2,37.9,23.8,27.2,11,,,,,,,,,,,,,,,,,0,,26.1,Manny Machado,2.4
Sano,Miguel,2016,0.22,0.449,0.329,0.308,0.228,0.487,0.478,0.393,0.371,0.016,0.013,0.005,92.2,16.6,33.6,37,14.1,8.4,22.5,27.9,25.2,1.9,48.5,60.5,24.7,22.6,63.3,36.7,155,245,51.6,1083,74.2,7.8,75.3,152,35.7,41,35.5,33.2,24.8,6.5,,,,,,,,,,,-2,-0.1,-0.1,-0.2,-0.3,32.6,0,,27.8,Miguel Sano,2.4
Baez,Javier,2016,0.255,0.399,0.301,0.298,0.14,0.395,0.375,0.365,0.343,0.018,0.024,0.015,86.4,11.4,26.9,19,6,5.7,21.2,24.7,35.1,7.3,32,66.9,19.8,41,39.8,60.2,157,394,57,960,73.4,7.4,80.2,96,28.8,52.2,47.5,20.3,24.1,8.2,,,,,,,,,,,,,,,,,14,,28.9,Javier Baez,2.4
